x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
0.47239,0.730315,0.402315,0.725259,0.345927,0.678912,0.350179,0.621407,0.398525,0.564652,0.338435,0.523785,0.299927,0.421644,0.28121,0.35382,0.273045,0.294414,0.394367,0.497457,0.391379,0.374835,0.395457,0.295481,0.405976,0.23214,0.446911,0.511004,0.442053,0.470916,0.423878,0.545788,0.418036,0.594858,0.493287,0.545733,0.478532,0.527635,0.458339,0.591351,0.445942,0.649154
0.478318,0.743874,0.412536,0.732427,0.365592,0.692045,0.36739,0.637821,0.399986,0.571791,0.345525,0.528702,0.304352,0.428823,0.28784,0.361124,0.285157,0.301006,0.403587,0.503043,0.402724,0.385205,0.409479,0.312234,0.424233,0.245177,0.4574,0.514558,0.46753,0.477309,0.449996,0.540899,0.441329,0.56842,0.505749,0.552494,0.496911,0.546792,0.474962,0.61788,0.463772,0.669693
0.496986,0.756728,0.413704,0.728784,0.359158,0.66364,0.351262,0.596459,0.377782,0.534738,0.362731,0.532522,0.320202,0.432194,0.303616,365,0.297044,0.309649,0.421878,0.504801,0.418872,0.386507,0.425745,0.308095,0.439524,0.241594,0.473154,0.513982,0.470585,0.479103,0.457084,0.549202,0.452472,0.583525,0.519822,0.547158,0.511414,0.538682,0.493353,0.600705,0.480612,0.644635
0.512402,0.770832,0.420388,0.734052,0.376481,0.679302,0.366188,0.614526,0.387905,0.551637,0.371274,0.548005,0.335304,0.434027,0.323517,0.364966,0.318731,0.31428,0.431117,0.51366,0.430242,0.395659,0.434177,0.321274,0.445384,0.264568,0.484875,0.520146,0.474436,0.48711,0.45297,0.510802,0.444436,0.510712,0.526913,0.551124,0.501224,0.566361,0.475479,0.62353,0.46359,0.656883
0.541512,0.778567,0.455505,0.741353,0.409739,0.690274,0.407982,0.637964,0.435939,0.60479,0.400026,0.545888,0.367336,0.43401,0.353523,0.375065,0.341948,0.32892,0.453933,0.523146,0.451045,0.401782,0.452923,0.336621,0.458343,0.285548,0.506889,0.536726,0.498831,0.516945,0.482274,0.564047,0.469566,0.57808,0.548866,0.572234,0.527644,0.596019,0.51425,0.6572,0.503993,0.692141
0.55028,0.779922,0.478008,0.750221,0.434584,0.690791,0.433234,0.631948,0.466153,0.581114,0.428701,0.545545,0.397705,0.441795,0.381891,0.372639,0.369677,0.317541,0.480625,0.527482,0.48119,0.406298,0.487364,0.323804,0.49569,0.261487,0.530716,0.542522,0.521651,0.5182,0.51343,0.59056,0.508159,0.634753,0.569027,0.573711,0.549769,0.568978,0.53181,0.632992,0.516271,0.687404
0.556085,0.782622,0.481926,0.752598,0.449068,0.692286,0.476418,0.624744,0.524903,0.595167,0.459131,0.533567,0.434233,0.429571,0.416732,0.360173,0.408336,0.301976,0.510744,0.520712,0.519436,0.399931,0.527343,0.318492,0.540675,0.255088,0.556736,0.540131,0.551755,0.516464,0.537038,0.592733,0.530909,0.640302,0.590435,0.581759,0.579006,0.569599,0.561821,0.628839,0.547009,0.68207
0.568155,0.787705,0.495462,0.759331,0.461645,0.695113,0.489248,0.634557,0.547724,0.617234,0.481406,0.539158,0.446865,0.431812,0.4276,0.358736,0.416485,0.288233,0.53238,0.527134,0.53824,0.406295,0.545666,0.331314,0.560382,0.266785,0.577342,0.548096,0.564734,0.528524,0.535785,0.609653,0.526416,0.648436,0.610148,0.593748,0.598834,0.58934,0.574398,0.642805,0.55891,0.679058
0.58163,0.796671,0.521375,0.773657,0.482587,0.72038,0.504222,0.665807,0.559777,0.63958,0.496804,0.533736,0.465577,0.438576,0.443849,0.370755,0.430412,0.304138,0.547207,0.52083,0.557442,0.413353,0.568845,0.335547,0.588866,0.269215,0.592289,0.545607,0.587666,0.5309,0.562789,0.60731,0.553216,0.645911,0.624809,0.599728,0.618017,0.587417,0.595453,0.632558,0.580319,0.663898
0.595556,0.80214,0.541979,0.783942,0.500246,0.73381,0.515834,0.678825,0.567702,0.650456,0.512212,0.540143,0.480588,0.446457,0.454532,0.381029,0.436975,0.310851,0.560852,0.526355,0.566085,0.422178,0.577467,0.341445,0.59592,0.264021,0.604033,0.552044,0.597272,0.543898,0.582579,0.631148,0.578289,0.676073,0.635349,0.608601,0.631772,0.595355,0.613132,0.637751,0.598691,0.668899
